symbol,year,Volume,marketCap,country,std_rel
OTLK,2017,687.5019920318725,63.7320704,0.0,11.33421158250353
OTLK,2018,295.6772908366534,29.615582425,0.0,3.92227078668844
OTLK,2019,81155.74206349206,62.765567250000004,0.0,10.04388829522127
OTLK,2020,82884.54545454546,51.53334994,0.0,5.664199225458212
OTLK,2021,127404.54365079365,245.53249395,0.0,4.070933696603509
OTLK,2022,44036.254980079684,309.05406044999995,0.0,2.5264877682816627
OTLK,2023,185689.38,307.77035624999996,0.0,6.038129791056278
OTLK,2024,359295.291005291,102.15717588,0.0,5.015405270458733
OTTR,2004,42539.28571428572,681.7861586624999,0.0,1.1190331891818242
OTTR,2005,77941.66666666667,717.1718174275001,0.0,1.3843832793740913
OTTR,2006,80605.57768924303,850.1116753075,0.0,1.3288052355301267
OTTR,2007,108620.3187250996,934.9317202575,0.0,1.489586282462523
OTTR,2008,258242.68774703558,1085.7944991825002,0.0,1.3824409558910988
OTTR,2009,194273.0158730159,828.3213404775,0.0,1.099732932190473
OTTR,2010,149870.2380952381,802.6151570775,0.0,0.9820383825003816
OTTR,2011,133102.38095238095,777.69183415,0.0,0.8281604841115107
OTTR,2012,98594.0,763.0559390125,0.0,0.9165927637367902
OTTR,2013,88461.50793650794,975.620012035,0.0,1.4254518176551565
OTTR,2014,99306.74603174604,1069.062099655,0.0,1.1848013675601399
OTTR,2015,83452.38095238095,1077.383632665,0.0,1.4612439407445896
OTTR,2016,109732.14285714286,1096.5584481125,0.0,1.263614356595519
OTTR,2017,93272.11155378487,1499.5526133525,0.0,1.5579349505354083
OTTR,2018,82551.39442231075,1767.1344214125002,0.0,1.4189181954641892
OTTR,2019,84212.69841269842,1968.43986995,0.0,1.2363072449962742
OTTR,2020,134698.418972332,1883.8799582775,0.0,1.2794947960020147
OTTR,2021,115123.80952380953,1793.7033225,0.0,1.0179085965760515
OTTR,2022,162411.55378486056,2669.0699375,0.0,1.1242602958579484
OTTR,2023,259227.6,2825.30188,0.0,1.5441906606280587
OTTR,2024,228044.97354497353,3438.608146666667,0.0,1.3433618101746998
OUST,2020,71127.24137931035,196.945211,0.0,55.890637970535316
OUST,2021,160760.27777777778,915.7410860333334,0.0,4.099229952159543
OUST,2022,167168.76494023905,765.4422633500001,0.0,3.199692386689528
OUST,2023,710446.8,192.43945847,0.0,5.500226943226161
OUST,2024,1160389.947089947,313.89263715666664,0.0,4.719495479360556
OUT,2014,2168794.8186528496,3429.6820000000002,0.0,4.219434076479938
OUT,2015,760732.5396825396,3595.748,0.0,1.287259730717699
OUT,2016,899774.6031746032,3025.05275,0.0,1.3759651390965042
OUT,2017,850962.5498007968,3393.0142499999997,0.0,2.270263687465806
OUT,2018,1102186.0557768925,3003.505,0.0,1.6970950912992544
OUT,2019,984754.3650793651,3075.8865,0.0,1.457374852947568
